"","brand_tag"
"1","아메카지"
"2","핀턱"
"3","와이드핏"
"4","캠퍼스"
"5","뉴트럴톤"
"6","아메카지"
"7","카고"
"8","체크"
"9","캠퍼스"
"10","오버핏"
"11","체크"
"12","아메카지"
"13","패치워크"
"14","와이드핏"
"15","스트라이프"
"16","로고플레이"
"17","오버핏"
"18","체크"
"19","카고"
"20","벌룬핏"
"21","아메카지"
"22","스웨이드"
"23","로고플레이"
"24","카고"
"25","아메카지"
"26","캠퍼스"
"27","꾸안꾸"
"28","오버핏"
"29","뉴트럴톤"
"30","아메카지"
"31","체크"
"32","벌룬핏"
"33","캠퍼스"
"34","오버핏"
"35","핀턱"
"36","레이어드룩"
"37","그래픽"
"38","오버핏"
"39","아메카지"
"40","청청패션"
"41","워싱"
"42","페이즐리"
"43","아메카지"
"44","로고플레이"
"45","카고"
"46","뉴트럴톤"
"47","캠퍼스"
"48","오버핏"
"49","아메카지"
"50","뉴트럴톤"
"51","캠퍼스"
"52","벌룬핏"
"53","핀턱"
"54","꾸안꾸"
"55","오버핏"
"56","로고플레이"
"57","뉴트럴톤"
"58","아메카지"
"59","벌룬핏"
"60","캠퍼스"
"61","꾸안꾸"
"62","캠퍼스"
"63","로고플레이"
"64","아가일"
"65","레이어드룩"
"66","와이드핏"
"67","카고"
"68","아메카지"
"69","아메카지"
"70","스트라이프"
"71","스티치"
"72","캠퍼스"
"73","워크웨어"
"74","아메카지"
"75","레이어드룩"
"76","뉴트럴톤"
"77","체크"
"78","오버핏"
"79","와이드핏"
"80","아메카지"
"81","뉴트럴톤"
"82","레이어드룩"
"83","체크"
"84","오버핏"
"85","벌룬핏"
"86","캠퍼스"
"87","와이드핏"
"88","뉴트럴톤"
"89","아메카지"
"90","캠퍼스"
"91","꾸안꾸"
"92","벌룬핏"
"93","레터링"
"94","아메카지"
"95","워크웨어"
"96","뉴트럴톤"
"97","린넨"
"98","와이드핏"
"99","셋업코디"
"100","아메카지"
"101","뉴트럴톤"
"102","스트라이프"
"103","카고"
"104","꾸안꾸"
"105","아메카지"
"106","벌룬핏"
"107","오버핏"
"108","캠퍼스"
"109","꾸안꾸"
"110","핀턱"
"111","로고플레이"
"112","아메카지"
"113","뉴트럴톤"
"114","오버핏"
"115","벌룬핏"
"116","남친룩"
"117","아메카지"
"118","스트라이프"
"119","핀턱"
"120","와이드핏"
"121","캠퍼스"
"122","체크"
"123","와펜"
"124","뉴트럴톤"
"125","카고"
"126","아메카지"
"127","캠퍼스"
"128","벌룬핏"
"129","꾸안꾸"
"130","아메카지"
"131","캠퍼스"
"132","스트라이프"
"133","핀턱"
"134","남친룩"
"135","와이드핏"
"136","아메카지"
"137","뉴트럴톤"
"138","그래픽"
"139","벌룬핏"
"140","와이드핏"
"141","리버서블"
"142","핀턱"
"143","아메카지"
"144","오버핏"
"145","와이드핏"
"146","빈티지"
"147","모노톤"
"148","오버핏"
"149","셋업코디"
"150","꾸안꾸"
"151","아메카지"
"152","스트라이프"
"153","핀턱"
"154","캠퍼스"
"155","꾸안꾸"
"156","남친룩"
"157","벌룬핏"
"158","아메카지"
"159","뉴트럴톤"
"160","레이어드룩"
"161","와이드핏"
"162","오버핏"
"163","와이드핏"
"164","오버핏"
"165","캠퍼스"
"166","꾸안꾸"
"167","스트라이프"
"168","아메카지"
"169","오버핏"
"170","핀턱"
"171","벌룬핏"
"172","꾸안꾸"
"173","아메카지"
"174","뉴트럴톤"
"175","오버핏"
"176","로고플레이"
"177","벌룬핏"
"178","아메카지"
"179","뉴트럴톤"
"180","캠퍼스"
"181","아메카지"
"182","오버핏"
"183","핀턱"
"184","테이퍼드핏"
"185","스티치"
"186","비"
"187","아메카지"
"188","체크"
"189","벌룬핏"
"190","캠퍼스"
"191","핀턱"
"192","아메카지"
"193","뉴트럴톤"
"194","오버핏"
"195","테이퍼드핏"
"196","아메카지"
"197","뉴트럴톤"
"198","오버핏"
"199","캠퍼스"
"200","남친룩"
"201","청청패션"
"202","셋업코디"
"203","로고플레이"
"204","핀턱"
"205","캠퍼스"
"206","아메카지"
"207","스티치"
"208","벌룬핏"
"209","핀턱"
"210","캠퍼스"
"211","꾸안꾸"
"212","뉴트럴톤"
"213","아메카지"
"214","스트라이프"
"215","와이드핏"
