"","brand_name","brand_item","brand_price"
"1","소프터","GINGHAM WIDE SHIRT (NAVY)","118000"
"2","에노우","코튼 카고 쇼트 팬츠_카키(EN2CSMPA70A)","71100"
"3","와일드 브릭스","HBT NEWSBOY CAP (brown)","42000"
"4","라이프 아카이브","라이프 헤비 코튼 빅 토트백_베이지","80100"
"5","베이크솔","이스트 페스토블랙 YEAST Pesto_Black","72000"
"6","프리즘웍스","NYCO HOODED M51 FISHTAIL PARKA _ OLIVE","133200"
"7","프리즘웍스","BROWNIE PATCHWORK RELAX SHIRT _ MULTI","98100"
"8","프리즘웍스","OG PIGMENT DYEING HALF TEE _ DESERT","36100"
"9","프리즘웍스","BT WIDE FATIGUE PANTS _ NAVY","61200"
"10","프리즘웍스","NATURE LOGO BALL CAP _ OLIVE STRIPE","35100"
"11","베이크솔","이스트 YEAST Crumb White_Crust","72000"
"12","프리즘웍스","BALMACAAN HUNTING COAT _ BLACK WATCH","152100"
"13","프리즘웍스","OG HEAVYWEIGHT PULLOVER HOODY _ OATMEAL","71100"
"14","프리즘웍스","NYLON CARGO BALLOON PANTS _ BEIGE","67500"
"15","프리즘웍스","BOKJORI STRING BAG _ LEATHER BLACK","62300"
"16","폴로 랄프 로렌","머튼 스웨이드 보트 슈 - 브라운","219000"
"17","게인스보로","로럴골든 하프집업_화이트멜란지","46500"
"18","어나더리더","포켓 코튼 숏팬츠(카키)","39800"
"19","디스이즈네버댓","CPT-logo 7 Panel Cap Khaki","39000"
"20","유제","TWO WAY BUCKET BAG (4color)","76000"
"21","페얼스","크루 삭스 화이트","8000"
"22","리프로덕션 오브 파운드","German Military Panna (Exclusive edition)","278000"
"23","랑가주망","스몰 하트 루즈핏 베스트 [블랙]","28800"
"24","커버낫","쿨 코튼 2-PACK 티셔츠 화이트","38700"
"25","카네이테이","슬로우 (체크)","189000"
"26","에노우","써머 니트 버킷 햇_베이지(EN2CSMAB20A)","35100"
"27","아날로그무드","메모리얼 크로스백 (베이지)","43900"
"28","엘두","토이지 리치블랙","54400"
"29","나이스고스트클럽","와플 데님 셔츠 자켓_블루(NG2CSUJ240A)","79200"
"30","나이스고스트클럽","레빗 OR 베어 티셔츠_화이트(NG2CMUT500A)","35100"
"31","나이스고스트클럽","와플 워싱 데님_블랙(NG2CSUD110A)","63200"
"32","밀리어네어햇","Denim (over size) Big apple hat - 흑청","41650"
"33","비디알","(50x50) BANDANA [Black]","35000"
"34","더블알엘","가죽 트림 데님 토트 - 네이비","499000"
"35","에버라스트 슈즈","에버라스트 겨울 남자 퍼 워커 부츠","69000"
"36","필루미네이트","[쿨코튼]2-PACK 로고 티셔츠","37700"
"37","캐피탈 라디오 튠즈","RIPSTOP CARGO 팬츠 khaki","89100"
"38","로렌스폴","쿠버04 c.05","240000"
"39","브래디백","스몰 아리엘 트라우트 피싱 백 카키","418000"
"40","쏘로굿","목토 6인치 브라운 814-4203","275000"
"41","말렌","unisex round half shirts jacket cream","108000"
"42","사운즈라이프","Steady Balloon Snap Pants Beige","89100"
"43","유니버셜 케미스트리","Belted Bold CT Khaki Newsboy Cap 뉴스보이캡","39000"
"44","브라스보트","왁스캔버스 카키 브리프케이스 (올리브 왁스)","318000"
"45","베이크솔","이스트 YEAST Anthracite_Wood","72000"
"46","본챔스","BC CM 로고 니트 B21FT22IV","63200"
"47","어낫띵","SOLAR PIGMENT BALLOON SWEAT PANTS (Khaki)","93100"
"48","와일드 브릭스","FEATHER BRACELET (ivory)","32000"
"49","벗딥","와샤 나일론 베리어스 백-더스트 베이지","69000"
"50","버켄스탁","보스턴 SFB 모카 660461","169000"
"51","척","시그니처 아가일 니트 베스트 (블랙)","53100"
"52","와릿이즌","슈무 와펜 롱슬리브 화이트","30100"
"53","제멋","유스 와이드 카고팬츠 4종 카키 YHLP2159","39800"
"54","언더컨트롤","LEATHER UDC / AUTHENTIC B B / DESERT MUD","21600"
"55","브래디백","스몰 아리엘 트라우트 피싱 백 카키","418000"
"56","브랜즈","루이스 레더 화이트","73400"
"57","져지팩토리","투웨이 스트라이프 럭비 카라티셔츠_네이비","58000"
"58","비디알","120 Cavalry (Black) sanforized","153000"
"59","뮤지엄바이비컨","뮤지엄 4 C4","168000"
"60","오버다인","얼티메이트 백팩 (카키)","76800"
