"","brand_tag"
"1","로고플레이"
"2","편안한"
"3","원마일웨어"
"4","캠퍼스"
"5","에코"
"6","오버핏"
"7","그래픽"
"8","핀턱"
"9","레터링"
"10","캠퍼스"
"11","와이드핏"
"12","로고플레이"
"13","레이어드룩"
"14","컬러블록"
"15","스트라이프"
"16","카고"
"17","와이드핏"
"18","캠퍼스"
"19","레이어드룩"
"20","아가일"
"21","스티치"
"22","그래픽"
"23","레이어드룩"
"24","워싱"
"25","캠퍼스"
"26","남친룩"
"27","로고플레이"
"28","레이어드룩"
"29","로고플레이"
"30","캠퍼스"
"31","퀼팅"
"32","편안한"
"33","원마일웨어"
"34","스티치"
"35","캠퍼스"
"36","꾸안꾸"
"37","로고플레이"
"38","레귤러핏"
"39","오버핏"
"40","핀턱"
"41","캠퍼스"
"42","꾸안꾸"
"43","시티보이룩"
"44","컬러블록"
"45","오버핏"
"46","캠퍼스"
"47","로고플레이"
"48","그래픽"
"49","와이드핏"
"50","오버핏"
"51","캠퍼스"
"52","로고플레이"
"53","에코"
"54","워싱"
"55","와이드핏"
"56","체크"
"57","캠퍼스"
"58","로고플레이"
"59","레이어드룩"
"60","캠퍼스"
"61","꾸안꾸"
"62","스티치"
"63","화사한"
"64","파스텔"
"65","로고플레이"
"66","오버핏"
"67","캠퍼스"
"68","꾸안꾸"
"69","로고플레이"
"70","워싱"
"71","콜라보"
"72","키높이"
"73","캠퍼스"
"74","꾸안꾸"
"75","스티치"
"76","그래픽"
"77","와이드핏"
"78","캠퍼스"
"79","꾸안꾸"
"80","로고플레이"
"81","셋업코디"
"82","화사한"
"83","편안한"
"84","원마일웨어"
"85","심볼"
"86","셀럽템"
"87","와이드핏"
"88","캠퍼스"
"89","꾸안꾸"
"90","카고"
"91","로고플레이"
"92","오버핏"
"93","와이드핏"
"94","캠퍼스"
"95","꾸안꾸"
"96","컬러포인트"
"97","와이드핏"
"98","워싱"
"99","스티치"
"100","캠퍼스"
"101","꾸안꾸"
"102","와펜"
"103","체크"
"104","페인팅"
"105","셋업코디"
"106","로고플레이"
"107","스티치"
"108","캠퍼스"
"109","편안한"
"110","원마일웨어"
"111","컬러블록"
"112","꾸안꾸"
"113","로고플레이"
"114","와이드핏"
"115","캠퍼스"
"116","꾸안꾸"
"117","워싱"
"118","그래픽"
"119","테이퍼드핏"
"120","캠퍼스"
"121","꾸안꾸"
"122","로고플레이"
"123","스티치"
"124","그래픽"
"125","로고플레이"
"126","오버핏"
"127","편안한"
"128","원마일웨어"
"129","캠퍼스"
"130","컬러포인트"
"131","셋업코디"
"132","편안한"
"133","원마일웨어"
"134","캠퍼스"
"135","로고플레이"
"136","오버핏"
"137","그래픽"
"138","모노톤"
"139","로고플레이"
"140","편안한"
"141","원마일웨어"
"142","오버핏"
"143","와이드핏"
"144","핀턱"
"145","캠퍼스"
"146","로고플레이"
"147","편안한"
"148","원마일웨어"
"149","오버핏"
"150","핀턱"
"151","와이드핏"
"152","편안한"
"153","원마일웨어"
"154","로고플레이"
"155","오버핏"
"156","캠퍼스"
"157","꾸안꾸"
"158","그래픽"
"159","레터링"
"160","캠퍼스"
"161","꾸안꾸"
"162","와이드핏"
"163","오버핏"
"164","캠퍼스"
"165","레터링"
"166","로고플레이"
"167","컬러포인트"
"168","레이어드룩"
"169","레터링"
"170","컬러포인트"
"171","체크"
"172","와이드핏"
"173","캠퍼스"
"174","꾸안꾸"
"175","스트라이프"
"176","캠퍼스"
"177","남친룩"
"178","꾸안꾸"
"179","시티보이룩"
"180","심볼"
"181","레귤러핏"
"182","스티치"
"183","캠퍼스"
"184","꾸안꾸"
"185","와펜"
"186","로고플레이"
"187","컬러블록"
"188","셋업코디"
"189","꾸안꾸"
"190","편안한"
"191","원마일웨어"
"192","그래픽"
"193","그래픽"
"194","핀턱"
"195","와이드핏"
"196","캠퍼스"
"197","컬러포인트"
"198","꾸안꾸"
"199","로고플레이"
"200","와이드핏"
"201","컬러블록"
"202","캠퍼스"
"203","꾸안꾸"
"204","와펜"
"205","로고플레이"
"206","오버핏"
"207","와이드핏"
"208","편안한"
"209","원마일웨어"
"210","파스텔"
"211","꾸안꾸"
"212","오버핏"
"213","로고플레이"
"214","그래픽"
"215","캠퍼스"
"216","원마일웨어"
"217","편안한"
"218","모노톤"
"219","레이어드룩"
"220","셀럽템"
"221","캠퍼스"
"222","오버핏"
"223","그래픽"
"224","레터링"
"225","에코"
"226","스트라이프"
"227","벌룬핏"
"228","핀턱"
"229","그래픽"
"230","오버핏"
"231","편안한"
"232","원마일웨어"
"233","로고플레이"
"234","벌룬핏"
"235","캠퍼스"
"236","컬러포인트"
"237","꾸안꾸"
"238","핀턱"
"239","스트라이프"
"240","콜라보"
"241","워싱"
"242","화사한"
"243","캠퍼스"
"244","꾸안꾸"
"245","오버핏"
"246","레터링"
"247","와이드핏"
"248","페인팅"
"249","캠퍼스"
"250","꾸안꾸"
"251","워싱"
"252","로고플레이"
"253","그래픽"
