"","brand_name","brand_item","brand_price"
"1","엠엠엘지","[Mmlg] UNION KNIT VEST (PURE MINT)","79000"
"2","엠엠엘지","[Mmlg] 19MG HF-T (WHITE)","37800"
"3","뉴비","다잉데님팬츠(그레이)","69000"
"4","지샥","GAE-2100RC-1ADR","175500"
"5","인리치","6포켓 캔버스 토트백 - 내츄럴","62000"
"6","오찌","플라워 로우 캔버스 FLOTCA9U17","99000"
"7","척","스노우 마운틴 니트 베스트 (스카이블루)","47200"
"8","리","빅 트위치 루즈핏 롱 슬리브 화이트","31200"
"9","빅유니온","13oz Heritage Shorts / 3 COLOR","53100"
"10","돈포겟미","디에프엠 빅사이즈 화이트-볼캡","52000"
"11","애드오프","LIV PADDED BAG BLACK","92700"
"12","오니츠카타이거","GSM SD 212117052_100","180000"
"13","던스트","UNISEX LOGO CREASE T-SHIRT BLACK_M_UDTS2A111BK","45000"
"14","리","코듀라 로우 데님 레귤러 스트레이트핏 남성","71200"
"15","제이반스 클래식","데이지 팬던트 써지컬스틸 체인 커플팔찌 (C2101-AC797_SV)","16200"
"16","오버다인","하프 미니 숄더 크로스백 (아이보리)","29900"
"17","캐치볼","오리지날 플러스 피크닉 _ 에크루","80100"
"18","프리즘웍스","NYCO HOODED OSCAR JACKET _ IVORY","124200"
"19","프리즘웍스","CHAMBRAY SHIRRING SHIRT _ INDIGO","70200"
"20","프리즘웍스","OG PIGMENT DYEING HALF TEE _ DESERT","36100"
"21","프리즘웍스","DEEP TWO TUCK CURVED PANTS _ BLACK","67500"
"22","프리즘웍스","HEAVY CANVAS NEEDLEWORK BAG _ NAVY","37950"
"23","아디다스","BW 아미 - 화이트 / BZ0579","139000"
"24","프리즘웍스","MILD VARSITY JACKET _ DARK GREEN","98100"
"25","프리즘웍스","OG HEAVYWEIGHT SWEATSHIRT 002 _ OATMEAL","53100"
"26","프리즘웍스","DOUBLE KNEE RELAXED PANTS _ INDIGO","62100"
"27","프리즘웍스","NATURE LOGO BALL CAP _ NAVY","35100"
"28","뉴발란스","NBP7CS101B / [NB X BROWNYARD] CM996KW2","119000"
"29","메인부스","Billys Dessert T-shirt(WHITE)","38700"
"30","인템포무드","커브드 와이드 데님 팬츠_인디고","85600"
"31","베리스","아이언2-브라운블랙","148000"
"32","리","빅 트위치 로고 에코백 아이보리","20800"
"33","반스","스타일 36 데콘 SF - (스웨이드/캔버스) 마쉬멜로우:블랙 / VN0A5HFF2Z31","79000"
"34","커버낫","C 로고 체크 하프 셔츠 블랙","69000"
"35","오더플리즈","ODPL 와이드 데님 팬츠 워시드블루","49600"
"36","261이유아이","공용 우레탄 아날로그 손목시계 EUI3102-BW","16900"
"37","네이키드니스","메쉬 스트링 백팩 블랙","55800"
"38","박스앤콕스","허밍 화이트검솔","13900"
"39","디스이즈네버댓","Crown Knit Vest  Lemon","95000"
"40","커버낫","에센셜 쿨 코튼 2-PACK 티셔츠","44100"
"41","산타크루즈","Strip Clay Denim - Dark Blue","64500"
"42","로헤이드","무사카 S C1","140000"
"43","에스에스알엘","dual pocket messenger bag / black","92800"
"44","뉴발란스","NBPACS412W / BB480LWW (WHITE)","99000"
"45","엘리오티","빈티지 워싱 티셔츠_빈티지 크림","27300"
"46","유니폼브릿지","cotton fatigue pants regular fit beige","59000"
"47","소니","WH-CH510 초경량 무선 헤드폰","79000"
"48","스칼렛또블랙","BW028 [써지컬스틸] 트리플체인 팔찌","11900"
"49","버빌리안","럭셔리 백팩_Black","69800"
"50","오니츠카타이거","아크로마운트 1183B257_101","190000"
"51","디스이즈네버댓","T-Logo Tee Black","45000"
"52","플랙","런업 X 플랙 스티즈 K33  라이트 블루","104300"
"53","리","스몰 트위치로고 코튼 커브 볼캡 인디고 로우","26000"
"54","데이라이프","더블 스트링 백팩 (아이보리)","89000"
"55","오찌","하이 스웨이드 FLOTBA4U74","89000"
"56","오베이","(166912711) 아이즈 오브 오베이 2 헤비웨이트 박스 반팔티 OFF BLACK","68000"
"57","오더플리즈","ODPL 와이드 데님 팬츠 화이트","46500"
"58","유씨 버클리","CAL SYMBOL CAP KS [NAVY]","27300"
"59","씨엔엔 어패럴","카우이 로고 크로스백 WHITE","129000"
"60","컨버스","척테일러 올스타 화이트 옥스 M7652C","55000"
"61","제이씨디씨","니트 라운드 풀오버 _BSAMSW202IV","158000"
"62","제이씨디씨","컬러 엣지 스웻 팬츠_BSAMMP201IV","148000"
"63","뱅앤올룹슨","포탈 블루투스 게이밍 헤드셋","645000"
"64","아크로하우스","아이폰 핸드폰 케이스 마이아이폰","20000"
"65","리복","로얄 울트라 - 크림:그린 / GX3522","49000"
"66","후아유","스티브 반팔 카라 티셔츠 [아이보리] WHHAC2414U","32310"
"67","와이엠씨엘케이와이","US M-65 Field Pants - Olive","102400"
"68","페얼스 델리 앤 그로서리","Square Patch Twill Ball Cap Brown","39000"
"69","맨하탄 포티지","1607V 빈티지 메신저백 L BLACK","78700"
"70","오니츠카타이거","멕시코 66 SD 212117005_101","180000"
"71","미뇽네프","MNFS 빅로고 오버핏 반팔티셔츠 썸머나이트","23400"
"72","인템포무드","커브드 와이드 데님 팬츠_크림","85600"
"73","오에스티","캐쥬얼 사각 화이트 디지털시계 OTW120501DWW","29900"
"74","씨네드","[Paulin Shoulder Bag] 폴린 숄더백 - 폴베이지","149000"
"75","수페르가","2832 NYLU white 화이트","63100"
"76","이벳필드","쿨코튼 2-PACK 베츠 기본 반팔 티셔츠 블랙/화이트","29600"
"77","인템포무드","로프 와이드 더블 데님 팬츠","76800"
"78","앰버옵티컬","스코트 47 블랙","87200"
"79","3130스튜디오","마이 벌스데이 캣 케이스","21900"
"80","네이키드니스","아이콘 메신저백 아이보리","42400"
"81","반스","어센틱 44 DX - (애너하임 팩토리) 스플래터 엠브로이더리:체커보드 / VN0A5KX48FI1","64900"
"82","인스턴트펑크","부클레 스탠다드 맨투맨 - 그린","82000"
