"","brand_name","brand_item","brand_price"
"1","미나브","펀칭 라운드 긴팔 니트 [민트]","71100"
"2","비슬로우","[스탠다드]22SS WIDE FIT DEEP PLEATS COTTON PANTS CHARCOAL","55200"
"3","세미콜론 아이웨어","링고안경 블랙(블루 라이트 렌즈)","79000"
"4","엠엠지엘","비건 레더 메신저백 (블랙)","109000"
"5","클레용","5cm 모던 유니섹스 스니커즈 에센셜(CL0032)","47400"
"6","세터","파로 오버 사이즈 부클 가디건 세이지 그린","134100"
"7","노이어","와이드 데님 팬츠 (블랙)","98100"
"8","제이반스 클래식","다이스틱 써지컬스틸 슬림 체인발찌 (C2201-AC841_SV)","13500"
"9","에스에스와이","미니멀바 스퀘어 레더 백 & 멀티카드월렛 블랙","55300"
"10","러프넥","R.P.S.350 에오스 페니워커","196000"
"11","오오엠스튜디오","믹스 버튼 카라 가디건_라이트 옐로우","112100"
"12","세븐피겨스","와이드 데님 하프 팬츠 CM","75650"
"13","애끼","트위스트 파이톤 팔찌","145000"
"14","파인드카푸어","마크백 26 크링클드 - 아이보리 1010818","159000"
"15","라슬로","스탠다드 유닛 알파 - 베이지","69760"
"16","엑스톤즈","XTK016 대퍼딜 꽈배기 니트 (KHAKI)","44100"
"17","노운","pleated wide pants (black)","104000"
"18","바이시클트로피","S.S 체인 목걸이 04 (써지컬스틸 사각바 펜던트 목걸이)","18000"
"19","효지노리코","에센셜 토트백","32900"
"20","톤노22","윌레보우","289000"
"21","라드앤파","파이어맨 니트 풀오버 (skyblue)","109000"
"22","아영상사","와이드 진 화이트","87200"
"23","와일드 브릭스","FEATHER BRACELET (blue)","32000"
"24","더프레치아","프리모 캔버스 토트백 아이보리 네이비","55000"
"25","라슬로","스탠다드 유닛 찰리 - 화이트","76300"
"26","문선","UNISEX Argyle Hole Knit Vest [Forest]","103550"
"27","엠엔지유","크링클 미드-슬리브 셔츠 IN 화이트","89100"
"28","로드 존 그레이","fair belted raw denim pants black","151050"
"29","노미네이션","팔찌 본드 스몰 021952/001","174000"
"30","반","106 MINI CROSSBAG BLACK","45000"
"31","러프넥","R.M 004 아리아 더비슈즈","137000"
"32","인사일런스","드레이프 오픈 칼라 셔츠 GREY BEIGE","79000"
"33","세터","카이엔_원 턱 테일러드 벨티드 데님_소피아 브라운","125100"
"34","논픽","CELLA_BK","65400"
"35","도프제이슨","[천연소가죽]카우하이드 토트백","137000"
"36","알렌느","CREAM square toe moc shoes(MH001)","258000"
"37","라퍼지스토어","헤비 코튼 오버 럭비 맨투맨 _Midnight Blue","39000"
"38","어널러코드","원턱데님팬츠 (라이트그레이)","57600"
"39","애쉬컴팩트","Tar (compact) 46 - Black","78000"
"40","매드고트","듀얼탑 캔버스 토트백 블랙","159000"
"41","커스텀에이드","3cm 소가죽 독일군 스니커즈 베일리(CR0012)","69300"
"42","데이데어","22 SOFT ROUND KNIT","39200"
"43","페이탈리즘","#0199 Sensitive -B standard fit","69000"
"44","리끌로우","RC E374 BLACK GLASS","26100"
"45","라퍼지스토어","버핑레더 유틸리티 플랩 미니 크로스백_Cream","46000"
"46","위더로드","WTRD1203 클리프 스퀘어토 4홀 더비슈즈 블랙 [250~290MM]","66700"
"47","세터","이비자 네츄럴 메시드 니트 그레이 라벤더","101150"
"48","쏘지","루멍 카브라컷팅 슬랙스 (아이)","89100"
"49","어나더유스","2 팬던트 넥크리스","21000"
"50","밈더워드로브","크랙 레더 호보 백","202300"
"51","로스트가든","Vol_iv","292500"
"52","메종미네드","BUTTER CREAM KNIT HALF SHIRTS","79200"
"53","비슬로우","[오리지널스]22SS COMFY CARPENTER SELVAGE DENIM PANTS INDIGO","79200"
"54","발렌티노 루디","VR6573A-BKBK 남자시계 썬앤문 가죽시계","68000"
"55","로우로우","블랙시티 헬멧백 162 Black","79000"
"56","클레용","5cm 유니섹스 독일군 스니커즈 제너럴(CL0035)","58650"
"57","쿠어","오버핏 스트링 니트 베스트 (모카베이지)","108000"
"58","무신사 스탠다드","레이어드 크루 넥 반팔 티셔츠_일반 기장 2팩","25800"
"59","데케트","[사은품 증정]솔리드 코튼 투 턱 와이드 팬츠 DCPT007IVORY","48300"
"60","로만손","남성 가죽 시계 RWTLHM1B2400RGSI0","179000"
"61","던스트","CLASSIC 28 LEATHER BAG TAN_M_UDBA2E201CM","199000"
"62","힐탑","HT4741 6cm 커플 키높이 독일군 스니커즈 하인츠 화이트 [230~280MM]","48300"
"63","코어스","소프트 스탠다드 데일리니트_그린","29900"
"64","오파츠","Compact yarn carrot-fit pants - Ivory","108000"
"65","애쉬컴팩트","Tar (compact) 46 - Warm Grey","78000"
"66","파인드카푸어","마크백 12 크링클드 - 아이보리 1010812","139000"
"67","위더로드","WTRD3104 시몬 오리진 독일군 스니커즈 그레이 [230~290MM]","53400"
"68","블랭크룸","원버튼 더블 피케 티_브라운","44100"
"69","필로그램","쉐인 와이드 데님 팬츠","75050"
"70","펀더멘탈","스테디 레오파드","159000"
"71","모노로우","한지가죽 리프백 와이드 내츄럴","129000"
"72","위트맨","Cream Butter","109000"
"73","수아레","워셔블 하찌 니트 - 10 COLOR","29900"
"74","로에스","플리츠 하프 라인 울 와이드 팬츠 멜란지 그레이","34900"
"75","크로노스","CRD88703B-WTWT 남자시계 오토매틱 멀티 메탈시계","638000"
"76","로우로우","블랙시티 헬멧백 162 Black","79000"
"77","골든구스","남성 슈퍼스타 골드 탭 골드 스타 스니커즈 - 화이트:골드 스파클 / GMF00101F00031610272","398000"
"78","토마스모어","TC1-SH2101 인디고 버튼다운-연청","65700"
"79","블랭크룸","원 턱 치노스_베이지","89000"
"80","한글안경","서울컬렉션 익선 블랙","48000"
"81","로우로우","시티워커 토트백 0102 Khaki","79000"
"82","식스핏","5IN OG - 오리지널 독일군 스니커즈","70000"
"83","인사일런스","이탈리안 코튼 폴로 니트 OFF WHITE","79000"
"84","인템포무드","로프 와이드 더블 데님 팬츠","76800"
"85","오리엔트","남성 마코2 블랙 메탈 시계 RA-AA0001B19B","328000"
"86","매드고트","듀얼탑 캔버스 토트백 내추럴 에토프 그레이","161000"
"87","골든구스","남성 슈퍼스타 블랙 탭 아이스 스타 스니커즈 - 화이트:블랙 / GMF00102F00031810220","439000"
"88","아노블리어","오버핏 크롭 카라 가디건 [베이지]","88400"
"89","모덴아르더","deep indigo wash jeans_MA1CT101","139000"
"90","제이반스 클래식","더블 코일드 가죽 레이어드 커플팔찌 (C2101-AC749_BK)","16200"
"91","멜릭","피츠 브라운 캔버스 토트","97000"
"92","라슬로","스탠다드 유닛 알파 - 화이트","59950"
"93","에이징씨씨씨","울 모헤어 스트라이프 니트 블랙","88200"
"94","파브레가","카본 코팅 세미 와이드 팬츠 (블랙)","137700"
"95","제이반스 클래식","써지컬스틸 캔디체인 팔찌 (C1701-AC336SV)","12000"
"96","밋맷밋","soboro c white","44100"
"97","닥터마틴","1461 3홀 블랙 나파 11838001","190000"
"98","무신사 스탠다드","베이식 긴팔 티셔츠 [화이트]","13900"
"99","무신사 스탠다드","KIPAS 스트레이트 데님 팬츠 [라이트 인디고]","69900"
"100","한글안경","서울컬렉션 성수 블랙","48000"
"101","바이시클트로피","S.S 체인 목걸이 04 (써지컬스틸 사각바 펜던트 목걸이)","18000"
"102","무신사 스탠다드","나일론 투웨이 헬멧 백 [블랙]","45900"
"103","무신사 스탠다드","레더 코트 스니커즈 [화이트]","62890"
"104","무신사 스탠다드","빅 대디 오버사이즈 블레이저 [더스티 베이지]","83900"
"105","무신사 스탠다드","오픈 칼라 폴로 셔츠 [화이트]","23900"
"106","무신사 스탠다드","콘트라스트 스티치 레귤러 핏 데님 팬츠 [크림]","39900"
"107","폭스바겐 와치","[남녀공용] VW-뉴트로 아나디지 듀얼타임","34900"
"108","식스핏","5IN OG - 오리지널 독일군 스니커즈","70000"
"109","쿠어","탑필 울 라운드 니트 (블루그레이)","61600"
"110","에스파이벗","커브드라인 3-핀턱 와이드 슬랙스(Grey)","134400"
"111","세미콜론 아이웨어","단테 블랙 안경","65000"
"112","쿠어","투웨이 레더 드로우스트링 백 (블랙)","193500"
"113","에잇세컨즈","블랙 20mm 리얼 레더 웨스턴 슬림 벨트 (292182WYA5)","29900"
"114","밈더워드로브","청키 올리브 더비슈즈","238000"
"115","이올로","소프트 레글런 크루넥_민트","160200"
"116","솔티","505 Kaihara denim Jeans (Mid Blue)","109650"
"117","오르또","THESUN17BR","178000"
"118","매드고트","듀얼탑 캔버스 토트백 내추럴 에토프 그레이","161000"
"119","라슬로","스탠다드 유닛 알파 - 그레이","69760"
"120","토마스모어","TC1-TS2104 하프집업 스웨트-라이트그레이","73500"
"121","비얼디드키드","밴딩 실루엣 팬츠 모카베이지","99450"
"122","제이반스 클래식","10플랫체인 믹스 블랙스트링 커플팔찌 (C2201-AC837_BK)","16200"
"123","에이멘테","[블랙 앤 화이트] 밸류어블 토트백_화이트","38500"
"124","어썸비","[AWSB] 로퍼 토리(TOLI) ASB207","216000"
"125","이에이","OVER 3 BUTTON BLAZER ALMOND CHECK Brown","288000"
"126","에이디엘티","실켓 코튼 로고 티셔츠(WHITE)(JUST-1)","39000"
"127","폴코어","PAUL201 스트레이트 크롭핏 데님진 (중청)","39200"
