"","brand_tag"
"1","데이트"
"2","남친룩"
"3","핀턱"
"4","와이드핏"
"5","미니멀"
"6","펀칭"
"7","핀턱"
"8","와이드핏"
"9","오버핏"
"10","남친룩"
"11","데이트"
"12","글로시"
"13","화사한"
"14","파스텔"
"15","와이드핏"
"16","데이트"
"17","남친룩"
"18","데이트"
"19","남친룩"
"20","핀턱"
"21","와이드핏"
"22","글로시"
"23","화사한"
"24","스트라이프"
"25","와이드핏"
"26","남친룩"
"27","데이트"
"28","파스텔"
"29","펀칭"
"30","레이어드룩"
"31","데이트"
"32","남친룩"
"33","와이드핏"
"34","컬러포인트"
"35","핀턱"
"36","남친룩"
"37","데이트"
"38","핀턱"
"39","톤온톤"
"40","미니멀"
"41","오버핏"
"42","핀턱"
"43","와이드핏"
"44","미니멀"
"45","데이트"
"46","남친룩"
"47","컬러블록"
"48","워싱"
"49","화사한"
"50","파스텔"
"51","미니멀"
"52","데이트"
"53","남친룩"
"54","데이트"
"55","남친룩"
"56","화사한"
"57","메쉬"
"58","핀턱"
"59","와이드핏"
"60","펀칭"
"61","데이트"
"62","남친룩"
"63","화사한"
"64","와이드핏"
"65","스티치"
"66","핀턱"
"67","와이드핏"
"68","데이트"
"69","남친룩"
"70","미니멀"
"71","레이어드룩"
"72","뉴트럴톤"
"73","테이퍼드핏"
"74","핀턱"
"75","화사한"
"76","데이트"
"77","컬러포인트"
"78","남친룩"
"79","마이크로백"
"80","미니멀"
"81","스티치"
"82","와이드핏"
"83","데이트"
"84","남친룩"
"85","파스텔"
"86","남친룩"
"87","데이트"
"88","핀턱"
"89","와이드핏"
"90","미니멀"
"91","소개팅"
"92","핀턱"
"93","와이드핏"
"94","캠퍼스"
"95","남친룩"
"96","데이트"
"97","스티치"
"98","미니멀"
"99","데이트"
"100","남친룩"
"101","와이드핏"
"102","컬러블록"
"103","펀칭"
"104","테이퍼드핏"
"105","오버핏"
"106","데이트"
"107","남친룩"
"108","스티치"
"109","스트라이프"
"110","오버핏"
"111","셀럽템"
"112","와이드핏"
"113","데이트"
"114","레더"
"115","워싱"
"116","레귤러핏"
"117","데이트"
"118","꾸안꾸"
"119","남친룩"
"120","레귤러핏"
"121","오버핏"
"122","데이트"
"123","스티치"
"124","화사한"
"125","뉴트럴톤"
"126","하객"
"127","남친룩"
"128","데이트"
"129","핀턱"
"130","와이드핏"
"131","미니멀"
"132","파스텔"
"133","남친룩"
"134","데이트"
"135","미니멀"
"136","남친룩"
"137","워싱"
"138","테이퍼드핏"
"139","핀턱"
"140","뉴트럴톤"
"141","미니멀"
"142","데이트"
"143","글로시"
"144","오버핏"
"145","로고플레이"
"146","워싱"
"147","콜라보"
"148","남친룩"
"149","데이트"
"150","스트라이프"
"151","오버핏"
"152","시티보이룩"
"153","핀턱"
"154","벌룬핏"
"155","남친룩"
"156","데이트"
"157","로고플레이"
"158","모노톤"
"159","데이트"
"160","남친룩"
"161","부츠컷"
"162","스트라이프"
"163","모노톤"
"164","레이어드룩"
"165","워싱"
"166","화사한"
"167","데이트"
"168","남친룩"
"169","파스텔"
