"","brand_tag"
"1","단정한"
"2","격식"
"3","출근룩"
"4","핀턱"
"5","셀럽템"
"6","미니멀"
"7","파스텔"
"8","단정한"
"9","격식"
"10","출근룩"
"11","핀턱"
"12","레이어드룩"
"13","와이드핏"
"14","컬러블록"
"15","레이어드룩"
"16","단정한"
"17","출근룩"
"18","메쉬"
"19","글로시"
"20","모노톤"
"21","핀턱"
"22","와이드핏"
"23","단정한"
"24","격식"
"25","출근룩"
"26","미니멀"
"27","핀턱"
"28","와이드핏"
"29","출근룩"
"30","단정한"
"31","격식"
"32","미니멀"
"33","심볼"
"34","레이어드룩"
"35","핀턱"
"36","출근룩"
"37","와이드핏"
"38","단정한"
"39","격식"
"40","오버핏"
"41","테이퍼드핏"
"42","뉴트럴톤"
"43","톤온톤"
"44","단정한"
"45","격식"
"46","출근룩"
"47","스트링"
"48","핀턱"
"49","하객"
"50","오버핏"
"51","레이어드룩"
"52","핀턱"
"53","와이드핏"
"54","출근룩"
"55","단정한"
"56","미니멀"
"57","격식"
"58","레이어드룩"
"59","핀턱"
"60","단정한"
"61","격식"
"62","출근룩"
"63","모노톤"
"64","단정한"
"65","격식"
"66","출근룩"
"67","와이드핏"
"68","핀턱"
"69","오버핏"
"70","핀턱"
"71","단정한"
"72","격식"
"73","출근룩"
"74","오버핏"
"75","미니멀"
"76","면접"
"77","단정한"
"78","격식"
"79","미니멀"
"80","출근룩"
"81","핀턱"
"82","와이드핏"
"83","오버핏"
"84","레이어드룩"
"85","오버핏"
"86","핀턱"
"87","와이드핏"
"88","출근룩"
"89","단정한"
"90","미니멀"
"91","오버핏"
"92","테이퍼드핏"
"93","셀럽템"
"94","출근룩"
"95","단정한"
"96","격식"
"97","스트라이프"
"98","오버핏"
"99","셀럽템"
"100","와이드핏"
"101","출근룩"
"102","단정한"
"103","핀턱"
"104","미니멀"
"105","격식"
"106","오버핏"
"107","테이퍼드핏"
"108","출근룩"
"109","단정한"
"110","미니멀"
"111","레이어드룩"
"112","하객"
"113","출근룩"
"114","격식"
"115","미니멀"
"116","단정한"
"117","면접"
"118","테이퍼드핏"
"119","출근룩"
"120","단정한"
"121","미니멀"
"122","테이퍼드핏"
"123","격식"
"124","톤온톤"
"125","레이어드룩"
"126","단정한"
"127","격식"
"128","출근룩"
"129","핀턱"
"130","와이드핏"
"131","모노톤"
"132","단정한"
"133","격식"
"134","출근룩"
"135","핀턱"
"136","미니멀"
"137","데이트"
"138","오버핏"
"139","단정한"
"140","출근룩"
"141","격식"
"142","미니멀"
"143","핀턱"
"144","와이드핏"
"145","오버핏"
"146","출근룩"
"147","단정한"
"148","격식"
"149","미니멀"
"150","와이드핏"
"151","핀턱"
"152","뉴트럴톤"
"153","출근룩"
"154","단정한"
"155","와이드핏"
"156","미니멀"
"157","콜라보"
"158","핀턱"
"159","단정한"
"160","격식"
"161","레이어드룩"
"162","출근룩"
"163","핀턱"
"164","와이드핏"
"165","모노톤"
"166","와이드핏"
"167","핀턱"
"168","모노톤"
"169","출근룩"
"170","단정한"
