"","brand_tag"
"1","스트라이프"
"2","레이어드룩"
"3","로고플레이"
"4","테리"
"5","컬러블록"
"6","로고플레이"
"7","편안한"
"8","체크"
"9","카무플라주"
"10","컬러포인트"
"11","로고플레이"
"12","화사한"
"13","컬러포인트"
"14","레터링"
"15","비비드"
"16","레귤러핏"
"17","카고"
"18","로고플레이"
"19","레터링"
"20","로고플레이"
"21","컬러포인트"
"22","와펜"
"23","로고플레이"
"24","컬러블록"
"25","컬러블록"
"26","와이드핏"
"27","레터링"
"28","로고플레이"
"29","뉴트럴톤"
"30","컬러블록"
"31","와이드핏"
"32","핀턱"
"33","레터링"
"34","카고"
"35","로고플레이"
"36","체크"
"37","그래픽"
"38","올블랙"
"39","레터링"
"40","카고"
"41","편안한"
"42","스포티"
"43","컬러포인트"
"44","로고플레이"
"45","그래픽"
"46","오버핏"
"47","콜라보"
"48","로고플레이"
"49","뉴트럴톤"
"50","레이어드룩"
"51","스트라이프"
"52","핀턱"
"53","오버핏"
"54","오버핏"
"55","편안한"
"56","콜라보"
"57","심볼"
"58","로고플레이"
"59","모노톤"
"60","로고플레이"
"61","뉴트럴톤"
"62","로고플레이"
"63","레이어드룩"
"64","아가일"
"65","와펜"
"66","로고플레이"
"67","로고플레이"
"68","카고"
"69","화사한"
"70","컬러포인트"
"71","뉴트럴톤"
"72","와펜"
"73","슬림핏"
"74","로고플레이"
"75","그래픽"
"76","오버핏"
"77","편안한"
"78","로고플레이"
"79","로고플레이"
"80","모노톤"
"81","로고플레이"
"82","뉴트럴톤"
"83","로고플레이"
"84","모노톤"
"85","스포티"
"86","편안한"
"87","로고플레이"
"88","컬러블록"
"89","카고"
"90","스트라이프"
"91","모노톤"
"92","로고플레이"
"93","콜라보"
"94","오버핏"
"95","메쉬"
"96","컬러포인트"
"97","로고플레이"
"98","컬러포인트"
"99","레터링"
"100","로고플레이"
"101","카무플라주"
"102","카고"
"103","로고플레이"
"104","모노톤"
"105","그래픽"
"106","콜라보"
"107","로고플레이"
"108","편안한"
"109","컬러포인트"
"110","로고플레이"
"111","메쉬"
"112","컬러포인트"
"113","비비드"
"114","편안한"
