"","brand_tag"
"1","로고플레이"
"2","편안한"
"3","스포티"
"4","애슬레저룩"
"5","컬러블록"
"6","와이드핏"
"7","로고플레이"
"8","모노톤"
"9","애슬레저룩"
"10","편안한"
"11","스포티"
"12","메쉬"
"13","스트링"
"14","캠핑"
"15","그래픽"
"16","톤온톤"
"17","편안한"
"18","스포티"
"19","뉴트럴톤"
"20","체크"
"21","그래픽"
"22","로고플레이"
"23","카고"
"24","애슬레저룩"
"25","편안한"
"26","스포티"
"27","모노톤"
"28","캠핑"
"29","카고"
"30","뉴트럴톤"
"31","애슬레저룩"
"32","편안한"
"33","등산"
"34","스포티"
"35","모노톤"
"36","미세먼지"
"37","로고플레이"
"38","애슬레저룩"
"39","편안한"
"40","스포티"
"41","레이어드룩"
"42","로고플레이"
"43","애슬레저룩"
"44","편안한"
"45","스포티"
"46","컬러포인트"
"47","로고플레이"
"48","편안한"
"49","스포티"
"50","캠핑"
"51","등산"
"52","애슬레저룩"
"53","뉴트럴톤"
"54","로고플레이"
"55","모노톤"
"56","애슬레저룩"
"57","편안한"
"58","스포티"
"59","애슬레저룩"
"60","편안한"
"61","셋업코디"
"62","모노톤"
"63","로고플레이"
"64","스포티"
"65","편안한"
"66","애슬레저룩"
"67","로고플레이"
"68","카고"
"69","로고플레이"
"70","컬러블록"
"71","애슬레저룩"
"72","편안한"
"73","스포티"
"74","스포티"
"75","셋업코디"
"76","애슬레저룩"
"77","모노톤"
"78","콜라보"
"79","레터링"
"80","모노톤"
"81","로고플레이"
"82","편안한"
"83","애슬레저룩"
"84","스포티"
"85","레이어드룩"
"86","레저스포츠"
"87","모노톤"
"88","로고플레이"
"89","편안한"
"90","애슬레저룩"
"91","스포티"
"92","로고플레이"
"93","편안한"
"94","애슬레저룩"
"95","스포티"
"96","모노톤"
"97","로고플레이"
"98","편안한"
"99","애슬레저룩"
"100","스포티"
"101","컬러포인트"
"102","편안한"
"103","애슬레저룩"
"104","스포티"
"105","로고플레이"
"106","스포티"
"107","등산"
"108","편안한"
"109","메쉬"
"110","캠핑"
"111","페이즐리"
"112","로고플레이"
"113","스포티"
"114","셋업코디"
"115","애슬레저룩"
"116","로고플레이"
"117","카고"
"118","셀럽템"
"119","로고플레이"
"120","컬러블록"
"121","모노톤"
"122","애슬레저룩"
"123","편안한"
"124","스포티"
"125","컬러블록"
"126","카고"
"127","로고플레이"
"128","모노톤"
"129","애슬레저룩"
"130","편안한"
"131","스포티"
"132","로고플레이"
"133","카고"
"134","모노톤"
"135","애슬레저룩"
"136","편안한"
"137","스포티"
"138","스포티"
"139","애슬레저룩"
"140","컬러블록"
"141","비비드"
"142","카고"
"143","등산"
"144","캠핑"
"145","로고플레이"
"146","뉴트럴톤"
"147","카고"
"148","와이드핏"
"149","스트링"
"150","루즈핏"
"151","카고"
"152","스포티"
"153","캠핑"
"154","카무플라주"
"155","스포티"
"156","애슬레저룩"
"157","편안한"
"158","로고플레이"
"159","스포티"
"160","애슬레저룩"
"161","편안한"
"162","컬러블록"
"163","오버핏"
"164","스포티"
"165","애슬레저룩"
"166","미세먼지"
"167","모노톤"
"168","로고플레이"
"169","카고"
"170","캠핑"
"171","로고플레이"
"172","뉴트럴톤"
"173","편안한"
"174","캠핑"
"175","화사한"
"176","컬러블록"
"177","스트링"
"178","캠핑"
"179","로고플레이"
"180","컬러블록"
"181","편안한"
"182","스포티"
"183","캠핑"
"184","뉴트럴톤"
"185","로고플레이"
"186","등산"
"187","카고"
"188","스포티"
"189","스포티"
"190","애슬레저룩"
"191","로고플레이"
"192","카고"
"193","등산"
"194","캠핑"
"195","뉴트럴톤"
"196","로고플레이"
"197","카고"
"198","애슬레저룩"
"199","편안한"
"200","스포티"
"201","테니스"
"202","비비드"
"203","그래픽"
"204","모노톤"
"205","애슬레저룩"
"206","편안한"
"207","스포티"
"208","로고플레이"
"209","컬러블록"
"210","오버핏"
"211","모노톤"
"212","로고플레이"
"213","편안한"
"214","스포티"
"215","등산"
"216","셋업코디"
"217","스포티"
"218","로고플레이"
"219","모노톤"
"220","편안한"
"221","애슬레저룩"
"222","모노톤"
"223","편안한"
"224","로고플레이"
"225","셋업코디"
"226","스포티"
"227","애슬레저룩"
"228","스포티"
"229","애슬레저룩"
"230","컬러블록"
"231","편안한"
"232","편안한"
"233","애슬레저룩"
"234","스포티"
"235","모노톤"
"236","컬러블록"
"237","로고플레이"
"238","모노톤"
"239","로고플레이"
"240","애슬레저룩"
"241","편안한"
"242","스포티"
"243","로고플레이"
"244","편안한"
"245","스포티"
"246","등산"
"247","편안한"
"248","스포티"
"249","애슬레저룩"
"250","모노톤"
"251","로고플레이"
"252","레이어드룩"
"253","편안한"
"254","스포티"
"255","로고플레이"
"256","레이어드룩"
"257","애슬레저룩"
"258","편안한"
"259","스포티"
"260","애슬레저룩"
"261","모노톤"
"262","컬러블록"
"263","편안한"
"264","스포티"
"265","애슬레저룩"
"266","모노톤"
"267","컬러블록"
