"","brand_tag"
"1","컬러블록"
"2","로고플레이"
"3","유니크"
"4","힙합"
"5","메쉬"
"6","와이드핏"
"7","오버핏"
"8","그래픽"
"9","컬러블록"
"10","유니크"
"11","그래픽"
"12","힙합"
"13","레터링"
"14","와이드핏"
"15","오버핏"
"16","유니크"
"17","힙합"
"18","그래픽"
"19","컬러포인트"
"20","비비드"
"21","와이드핏"
"22","컬러블록"
"23","오버핏"
"24","그래픽"
"25","유니크"
"26","로고플레이"
"27","와이드핏"
"28","타이다이"
"29","레터링"
"30","로고플레이"
"31","유니크"
"32","힙합"
"33","로고플레이"
"34","루즈핏"
"35","스티치"
"36","와이드핏"
"37","유니크"
"38","힙합"
"39","체인"
"40","그래픽"
"41","로고플레이"
"42","카고"
"43","유니크"
"44","힙합"
"45","로고플레이"
"46","레이어드룩"
"47","유니크"
"48","힙합"
"49","메쉬"
"50","모노톤"
"51","레터링"
"52","그래픽"
"53","워싱"
"54","체인"
"55","컬러포인트"
"56","힙합"
"57","유니크"
"58","로고플레이"
"59","로고플레이"
"60","컬러블록"
"61","유니크"
"62","힙합"
"63","페스티벌"
"64","페이즐리"
"65","와이드핏"
"66","오버핏"
"67","그래픽"
"68","유니크"
"69","힙합"
"70","컬러포인트"
"71","그래픽"
"72","로고플레이"
"73","와이드핏"
"74","콜라보"
"75","체크"
"76","유니크"
"77","힙합"
"78","체크"
"79","유니크"
"80","힙합"
"81","키높이"
"82","모노톤"
"83","체인"
"84","그래픽"
"85","오버핏"
"86","레더"
"87","체크"
"88","컬러포인트"
"89","힙합"
"90","그래픽"
"91","유니크"
"92","힙합"
"93","레터링"
"94","오버핏"
"95","로고플레이"
"96","컬러블록"
"97","유니크"
"98","힙합"
"99","로고플레이"
"100","체크"
"101","레이어드룩"
"102","유니크"
"103","힙합"
"104","체크"
"105","레터링"
"106","와이드핏"
"107","로고플레이"
"108","그래픽"
"109","컬러블록"
"110","그래픽"
"111","체크"
"112","로고플레이"
"113","힙합"
"114","와이드핏"
"115","유니크"
"116","힙합"
"117","로고플레이"
"118","와이드핏"
"119","레터링"
"120","그래픽"
"121","카고"
"122","워싱"
"123","와이드핏"
"124","로고플레이"
"125","페인팅"
"126","로고플레이"
"127","그래픽"
"128","오버핏"
"129","와이드핏"
"130","페이즐리"
"131","유니크"
"132","스트라이프"
"133","유니크"
"134","힙합"
"135","스티치"
"136","체인"
"137","오버핏"
"138","체크"
"139","와이드핏"
"140","콜라보"
"141","유니크"
"142","화사한"
"143","파스텔"
"144","힙합"
"145","유니크"
"146","스트라이프"
"147","오버핏"
"148","컬러포인트"
"149","루즈핏"
"150","그래픽"
"151","로고플레이"
"152","유니크"
"153","힙합"
"154","화사한"
"155","와이드핏"
"156","파스텔"
"157","카고"
"158","타이다이"
"159","로고플레이"
"160","오버핏"
"161","유니크"
"162","힙합"
"163","비비드"
"164","컬러블록"
"165","와이드핏"
"166","힙합"
"167","유니크"
"168","레터링"
"169","로고플레이"
"170","스티치"
"171","힙합"
"172","레터링"
"173","로고플레이"
"174","오버핏"
"175","그래픽"
"176","유니크"
"177","힙합"
"178","체크"
